id;dist;dist_update;comp;prop;prop_upd;dist_water;elevation;contamination;comp_point;cont_code;cont_class;comp_class;n_micro;n_large;prop_def_all;prop_def_pine;prop_def_birch;prop_dead;prop_BA_pine;prop_BA_birch;shannon_exp;shannon_diam;response;dist_stand_scaled;prop_stand_scaled;elevation_scaled;dist_water_scaled;shannon_height;openness;H_percentile;Cont_UA;n_micro_scaled
204;276;276;8Бп2Сз;0,2;0,2;2579,778773;131;Medium;7;1;1;3;300;2100;0,444444444;0,4375;0,5;0,142857143;0,98833656;0,01166344;1,065572891;6,288978727;6,288978727;1.70062110385579;-0.99403473759477;0.974242979718923;-0.0959930632856891;3,261945916;1;4,5;Середнє;0,272727273
205;228;228;8Бп2Сз;0,2;0,2;2825,452817;132;Medium;7;1;1;3;100;700;0,428571429;0,5;0;0;0,983981008;0;1,085577599;4,710650674;4,710650674;1.19955610162319;-0.99403473759477;1.1957595954166;0.120562438130074;4,710650674;1;5,8;Середнє;0,090909091
206;97;155;8Бп2Сз;0;0,2;3080,82113;123;Medium;6;1;1;7;0;1500;0,285714286;0,428571429;0,142857143;0,066666667;0,820389169;0,179610831;1,601279276;9,125465128;9,125465128;-0.16793380030328;-1.46914182795329;-0.797889945862515;0.345663193147843;5,853320992;0;8,44;Середнє;0
189;22;22;7Бп3Сз;0,3;0,3;2770,600009;135;Medium;1;1;1;1;100;100;1;0;1;0;0;1;1;1;1;-0.950847866291718;-0.75648119241551;1.86030944250964;0.0722110650810337;1;0;8,4;Середнє;0,090909091
190;74;74;7Бп3Сз;0,3;0,3;3000,685331;128;Medium;7;1;1;3;0;500;0,75;0,75;0;0,2;1;0;1;3,789291416;3,789291416;-0.408027447206401;-0.75648119241551;0.309693132625884;0.275025498906955;3,789291416;0;6,22;Середнє;0
111;127;127;10Сз;1;1;3479,663289;120;Medium;7;1;1;3;200;1200;0,333333333;0,333333333;0;0;1;0;1;8,485281374;8,485281374;0.145231826092095;0.906393623839315;-1.46243979295555;0.697232541787862;5,498918548;1;12,1;Середнє;0,181818182
110;23;23;10Дз;0;0;3367,213305;125;Medium;7;1;1;3;400;1800;0,111111111;0,111111111;0;0;1;0;1;5,865197532;5,865197532;-0.940409012078539;-1.46914182795329;-0.354856714467155;0.59811070484253;4,629876198;1;11,12;Середнє;0,363636364
95;311;311;10Дз;0;0;3651,091606;124;Medium;7;1;1;3;100;2800;0,25;0,25;0;0;1;0;1;12,95958151;12,95958151;2.06598100131706;-1.46914182795329;-0.576373330164835;0.848342298899464;5,671218443;1;7,92;Середнє;0,090909091
94;227;227;10Сз;1;1;3569,446863;129;Medium;7;1;1;3;0;1500;0,384615385;0,384615385;0;0,133333333;1;0;1;8,319891776;8,319891776;1.18911724741001;0.906393623839315;0.531209748323564;0.776374508266451;5,526047248;0;6,54;Середнє;0
109;190;190;10Сз;1;1;3278,503771;132;Medium;7;1;1;3;0;600;0,333333333;0,333333333;0;0;1;0;1;4,762203156;4,762203156;0.802879641522382;0.906393623839315;1.1957595954166;0.51991547759845;3,464101615;0;4,6;Середнє;0
