IDPlots,ID,DBH_mm,Height_m,heigh_class,Species,Cont,Species_n,DBH,BA,dist_stand,prop_stand,dist_water,elevation,alive,deformated,bio,abio,BA_tree,pine,birch,response,dist_stand_scaled,prop_stand_scaled,elevation_scaled,dist_water_scaled
169,6,15,1.95,1.3-1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6678293725756554,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,5,15,1.9,1.3-1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6418538861723947,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,2,15,1.9,1.3-1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6418538861723947,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,1,17,1.9,1.3-1.9,19,High,POTR,1.7,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,2.269806e-4,no,no,0.6418538861723947,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,4,20,2.5,2-2.9,19,High,POTR,2,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,3.1416e-4,no,no,0.9162907318741551,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,3,18,2.15,2-2.9,19,High,POTR,1.8,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,2.544696e-4,no,no,0.7654678421395714,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,7,15,2,2-2.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6931471805599453,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,11,15,1.9,1.3-1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6418538861723947,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,8,15,1.95,1.3-1.9,19,High,POTR,1.5,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,1.76715e-4,no,no,0.6678293725756554,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,10,20,1.9,1.3-1.9,19,High,POTR,2,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,3.1416e-4,no,no,0.6418538861723947,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
169,9,10,1.8,1.3-1.9,19,High,POTR,1,0.22486002,218,0.9,429.582452146226,123,yes,no,yes,no,7.854e-5,no,no,0.5877866649021191,1.2485929985971014,0.6167343264030188,-0.8694738718444436,-2.0858385115587197
213,1,32,2.7,2-2.9,32,High,PYCO,3.2,0.85082382,10,0,1187.01926411821,124,no,no,no,no,8.042496e-4,no,no,0.9932517730102834,-0.9377449084724444,-1.5318458364469458,-0.6307285116303141,-1.4358210386188854
213,3,28,3.6,3-3.9,26,High,PYCO,2.8,0.85082382,10,0,1187.01926411821,124,yes,no,no,no,6.157536e-4,no,no,1.2809338454620642,-0.9377449084724444,-1.5318458364469458,-0.6307285116303141,-1.4358210386188854
