id,dist,dist_update,comp,prop,prop_upd
204,276,276,8Бп2Сз,0.2,0.2
205,228,228,8Бп2Сз,0.2,0.2
206,97,155,8Бп2Сз,0,0.2
189,22,22,7Бп3Сз,0.3,0.3
190,74,74,7Бп3Сз,0.3,0.3
111,127,127,10Сз,1,1
110,23,23,10Дз,0,0
95,311,311,10Дз,0,0
94,227,227,10Сз,1,1
109,190,190,10Сз,1,1
123,12,70,10Сз,1,1
89,5,37,10Сз,0,1
59,79,315,10Акб,1,0
43,6,180,8Сз2Бп,1,0.8
88,23,116,10Сз,0,1
72,49,330,10Сз,1,1
57,73,170,8Сз2Бп,1,0.8
55,53,412,8Сз2Бп,0.2,0.8
38,49,53,8Бп2Сз,0.2,0
1710,8,8,10Бп,0,0
1700,307,307,10Бп,0,0
1690,340,424,7Бп2Сз1Ос,1,0.2
1680,141,141,7Бп2Сз1Ос,0.2,0.2
1520,74,103,7Бп2Сз1Ос,1,0.2
1530,42,405,7Бп2Сз1Ос,1,0.2
1540,187,315,10Бп,1,0
1550,21,21,10Бп,0,0
1660,348,430,10Сз,1,0.2
1500,48,453,10Сз,1,0.2
1340,73,340,7Бп3Сз,1,0.3
1180,133,133,7Бп3Сз,0.3,0.3
1170,125,125,7Бп3Сз,0.3,0.3
1330,253,350,7Бп3Сз,1,0.3
1490,222,620,7Бп3Сз,1,0.3
1320,137,350,10Бп,1,0
2660,24,24,9Сз1Бп,0.9,0.9
2650,184,184,10Бп,0,0
2640,144,144,7Бп3Ос,0,0
2320,49,49,5Бп2Ос2Сз1Врл,0.2,0.2
2150,28,28,8Сз2Бп,0.8,0.8
1990,48,48,8Сз2Бп,0.8,0.8
1830,82,82,8Сз2Бп,0.8,0.8
2470,12,12,10Бп,0,0
2630,24,24,10Бп,0,0
2620,43,342,10Бп,0.7,0
2610,48,650,10Бп,0.7,0
2920,93,330,7Бп3Сз,0.7,0.3
2910,242,330,7Бп3Сз,0.8,0.3
2740,53,660,10Сз,0.8,1
2570,294,294,8Сз2Бп,0.8,0.8
2730,240,240,10Сз,1,1
289,297,297,10Сз,1,1
3210,9,9,10Сз,1,1
3380,14,14,7Бп2Сз1Гз,0.2,0.2
984,150,150,7Бп3Сз,0.3,0.2
983,179,179,7Бп3Сз,0.3,0.2
1005,9,9,7Бп3Сз,0.3,0.2
1004,157,157,10Сз,1,1
1027,40,40,10Бп,0,0
364,140,140,9Бп1Сз,0.1,0.1
341,54,54,10Сз,1,1
318,34,34,10Сз,1,1
295,173,173,10Сз,1,1
296,65,65,10Сз,1,1
272,5,5,10Сз,1,1
248,80,95,5Бп2Влч,1,0
270,51,51,10Сз,1,1
269,37,37,10Сз,1,1
169,218,218,9Сз1Бп,0.9,0.9
239,17,13,7Сз3Бп,1,0.7
262,90,90,10Сз,1,1
263,89,89,10Сз,1,1
286,232,232,10Сз,1,1
309,304,304,10Сз,1,1
332,114,114,10Сз,1,1
331,199,199,9Сз1Бп,0.9,0.9
284,148,148,10Сз,1,1
261,126,126,10Сз,1,1
306,16,16,10Сз,1,1
283,205,205,8Бп2Влч,0,0
237,318,318,10Сз,1,1
236,91,91,8Бп2Сз,0.2,0.2
259,89,89,8Бп2Сз,0.2,0.2
257,10,167,7Бп3Влч,0.2,0
213,10,10,10Бп,0,0
513,57,57,10Сз,1,1
516,68,68,10Сз,1,1
539,19,19,10Сз,1,1
543,5,5,8Акб1Бп1Сз,0.1,0.1
566,88,88,8Акб1Бп1Сз,0.1,0.1
587,130,130,10Сз,1,1
582,194,194,10Сз,1,1
606,74,325,10Сз,0.6,1
629,87,87,9Сз1Бп,0.9,0.9
652,9,183,10Сз,0.9,1
770,39,82,8Сз2Бп,0.1,0.8
769,150,380,8Сз2Бп,0.1,0.8
768,256,300,10Сз,0.1,1
791,53,53,10Сз,1,1
767,38,38,5Бп5Влч,0,0
744,80,90,10Сз,0.1,1
260,335,335,0,0.1,0.1
2900,205,205,0,0.8,0.8
